Name, Type, Id, Lon, Lat
Св. Атанас, null, 2388629467, 41.9712482, 21.3100148
Пресвета Богородица, null, 4498195660, 41.980706, 21.0411556
Св. Никола, null, 8360908887, 41.4040434, 21.6686549
Св. Атанасиј, null, 4498195652, 41.9816896, 21.0389549
Св. Никола, null, 7658196408, 41.2978732, 21.0722187
Рождество на Пресвета Богородица, null, 5335586394, 41.4232793, 22.7649772
Св. Георгиј, null, 4330982039, 41.2714183, 21.3902871
Св. Еремија, null, 2334691056, 41.945457, 21.4836224
Св. Јован Крстител, null, 4064759493, 42.0758863, 22.1831257
Св. Илија, null, 2225206233, 41.4296682, 22.6130495
Св. Недела, null, 4252563866, 41.7029956, 21.7879089
Xhamia e Loke, null, 2918287341, 41.8345582, 20.9704884
Манастир „Свети Димитрија“, null, 4252563847, 41.7024974, 21.7912319
Ловен Дом, null, 7926604103, 41.9150435, 22.4138306
Св. Пантелејмон, null, 8355505915, 41.3421633, 21.5633962
Св. Петка, null, 8618211306, 41.3041291, 21.5658633
Laka Mosque, null, 7791937215, 41.9976385, 21.3662793
Манастир Света Петка, null, 4485913838, 41.1291432, 20.8400056
11 Октомври 1941, null, 2189840793, 41.34503, 21.5522424
Taftalidzhe Mosque, null, 7791937227, 42.0030937, 21.3833246
Ali Pasha Mosque, null, 10994717547, 41.1155093, 20.8005313
Света Лидија Македонска, null, 7837191420, 41.8612413, 21.9392363
Gorno Orizari Mosque, null, 7791937205, 41.6858958, 21.7330478
Црква Рождество на Пресвета Богородица и Света Петка, null, 8951302848, 41.1110018, 20.7889594
Св. Кирил и Методиј, null, 10316896332, 41.4343967, 22.6356179
Св. Димитриј Солунски, null, 8354899692, 41.295392, 21.584324
Орта џамија, null, 10316896328, 41.4356416, 22.6348154
Xhamia e Kalishtit, null, 9928886187, 41.8796116, 20.8611374
Св. Спас, null, 8360889347, 41.2547425, 21.6442087
Камена, null, 2360011621, 41.478356, 21.3142734
Св. Преображение, null, 8152015863, 41.5214842, 21.341875
Св. Петар и Св. Павле, null, 8152015867, 41.5211051, 21.3414232
Св. Преображение, null, 7527028574, 41.4082296, 21.2209738
Источен Пештански Манастир, null, 8354375305, 41.2751265, 21.6627614
Света Борогодица Челница, null, 9219801017, 41.1133728, 20.7973177
Presveta Bogorodica, null, 4136930357, 41.0790945, 20.8235095
Св. Петка, null, 8358758273, 41.2708005, 21.7538908
Св. Илија, null, 8354375323, 41.2752803, 21.6614357
Св. Наум Охридски - Чудотворец, null, 332045703, 42.0111578, 20.8825858
Света Богородица Пандонос, null, 5905772566, 41.1151731, 20.7938418
џа́мија, null, 4409589398, 41.8370625, 20.8837497
Св. Илија, null, 7924937263, 40.96275, 21.3522355
Свети Димитрија, null, 7647565545, 41.5212795, 20.9165336
Св. Атанасиј Велики, null, 7924937259, 40.9631686, 21.3494834
Св. Петка, null, 7924937255, 40.9634737, 21.3490314
